Author,Title,Year of publication,,Country of study,Native or invasive,Days collected,Number collected,One day collection,Density per day,Mosquito stage reclassification,Biting indoor or outdoor,Resting indoor or outdoor,Breeding site,Condensed breeding site,Collection_method,Condensed collection method,Method,Origin
"A. G. Gayan Dharmasiri, A. Yashan Perera, Jeevanie Harishchandra, Hemantha Herath, Kandasamy Aravindan,  H. T. R. Jayasooriya, Gaya R. Ranawaka, & Mihirini Hewavitharane",First record of Anopheles stephensi in Sri Lanka: a potential challenge for prevention of malaria reintroduction,2017,,Sri Lanka,Invasive,129,1,0.007751938,,Adult,,,,,Outdoor collection,Aspiration targeting resting mosquitoes,r,i
"Michael K. Fauldea, Leopoldo M. Ruedac, Bouh A. Khairehd","First record of the Asian malaria vector Anopheles stephensi and its possible role in the resurgence of malaria in Djibouti, Horn of Africa",2014,,Djibouti,Invasive,537,50,0.09310987,,Adult,Indoor,,,,,,,i
W. K. REISEN and M. ASLAMKHAN,Biting rhythms of some Pakistan mosquitoes (Diptera: Culicidae),1978,,Pakistan,Native,12,643,53.58333333,,Adult,Outdoor,Outdoor,,,Cattle and Buffalo,Host seeking animal baited trap,b,n
"Ashwani Kumar, Rajeshwari Hosmani, Shivaji Jadhav, Trelita de Sousa, Ajeet Mohanty1 , Milind Naik, Adarsh Shettigar, Satyajit Kale, Neena Valecha, Laura Chery and Pradipsinh K. Rathod",Anopheles subpictus carry human malaria parasites in an urban area of�Western India and�may facilitate perennial malaria transmission,2016,,India,Native,626,334,0.533546326,,Adult,Indoor,,,,CDC light trap,Mechanical trap,b,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,,Afghanistan,Native,65,4022,61.87692308,1.237538462,Larvae,,,,,Dipping,Aquatic larval collection,,n
"Ayman Ahmed, Rua Khogali, Mohammed‑Ahmed B. Elnour, Ryo Nakao and Bashir Salim","Emergence of the invasive malaria vector Anopheles stephensi in Khartoum State, Central Sudan",2021,,Sudan,Invasive,52,2,0.038461538,,Adult,,,,,Aspiration,Aspiration targeting resting mosquitoes,r,i
"A.A. Al-Ghoury, W.K. El-Hashimi and J. Abul-Hab","Epidemiology of malaria and predictions of retransmission in Babylon governorate, Iraq",2006,,Iraq,Native,313,1175,3.75399361,,Adult,,Indoor,,,Aspiration,Aspiration targeting resting mosquitoes,r,n
"A.A. Al-Ghoury, W.K. El-Hashimi and J. Abul-Hab","Epidemiology of malaria and predictions of retransmission in Babylon governorate, Iraq",2006,,Iraq,Native,313,1731,5.530351438,,Adult,,Indoor,,,Pyrethrum spray catch ,Pyrethrum spray catch ,r,n
"A.A. Al-Ghoury, W.K. El-Hashimi and J. Abul-Hab","Epidemiology of malaria and predictions of retransmission in Babylon governorate, Iraq",2006,,Iraq,Native,260,425,1.634615385,0.016346154,Larvae,,,,,Dipping,Aquatic larval collection,,n
"Naheed Ali, Shumaila Noreen, Khalid Khan and SobiaWahid","Population dynamics of mosquitoes and malaria vector incrimination in district Charsadda, Khyber Pakhtunkhwa (KP) Pakistan",2015,,Pakistan,Native,12,489,40.75,,Adult,Outdoor,Indoor,,,Pyrethrum spray catch ,Pyrethrum spray catch ,r,n
